match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,bowler,runs_off_bat,extras,wides,noballs,wicket_type,player_dismissed
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.1,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,0,0,,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.2,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,0,0,,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.3,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,4,0,,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.4,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,4,0,,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.5,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,0,1,1.0,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.6,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,0,1,1.0,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.7,Gujarat Titans,Royal Challengers Bengaluru,B Sai Sudharsan,JA Duffy,1,0,,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.8,Gujarat Titans,Royal Challengers Bengaluru,Shubman Gill,JA Duffy,0,1,1.0,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,0.9,Gujarat Titans,Royal Challengers Bengaluru,Shubman Gill,JA Duffy,1,0,,,,
1535465,2026,2026-05-31,"Narendra Modi Stadium, Ahmedabad",1,1.1,Gujarat Titans,Royal Challengers Bengaluru,Shubman Gill,B Kumar,0,0,,,,
